ACAO,CORPO,MENTE,VIDA,LIBERDADE,PROPOSITO
Perder-se na floresta e tentar usar o sol para se guiar,8,7,5,7,7
Usar mapas de papel antigos,5,8,5,6,6
Fazer fogueira acampando (sem destruir a natureza),7,8,8,7,7
Deixar lixo no acampamento selvagem,3,1,1,4,1
Saltar de Bungee Jump,7,8,6,8,7
Fazer mergulho de cilindro (Scuba) em recifes,8,9,8,8,8
Esquiar na neve pela primeira vez caindo muito,8,8,7,7,7
Não viajar porque não tem companhia,3,2,3,3,3
Fazer a primeira viagem internacional sozinho,7,10,9,9,10
Mandar cartões postais para a família,5,8,8,6,7
Esquecer de avisar a mãe que chegou no destino,4,3,4,4,3
Postar o bilhete de embarque (com código de barras) nas redes,2,2,2,3,2
Usar doleira na cintura na Europa,5,6,6,6,5
Andar de scooter elétrica em alta velocidade na calçada,3,2,2,5,2
Bater o carro no poste mexendo no celular,1,1,1,2,1
Ultrapassar no acostamento em engarrafamento,4,1,1,4,1
Ceder a vez no trânsito em um cruzamento difícil,5,8,9,5,7
Cantar músicas dos anos 80 em voz alta no trânsito,6,9,6,6,6
Limpar o para-brisa do carro para evitar acidentes,6,7,6,6,6
Colar adesivos "Foi Deus que me deu" no carro,5,5,5,5,5
Estacionar na vaga de cadeirante/idoso "só por um minuto",4,1,1,4,1
Denunciar quem estaciona em vaga de cadeirante,5,8,9,6,8
Buzinar no momento em que o sinal abre,4,2,2,4,2
Esperar o carro da frente arrancar com calma,5,8,7,5,6
Pegar carona com motorista bêbado,1,1,1,2,1
Tirar a chave do carro do amigo bêbado,6,9,10,5,9
Andar de moto sem capacete na roça,2,2,2,4,2
Pagar seguro do carro e achar que foi dinheiro jogado fora porque não bateu,4,3,4,4,3
Pagar seguro do carro e sentir paz de espírito,5,9,6,7,6
Mudar de faixa sem dar seta e achar ruim quem buzina,4,2,2,4,2
Levar o cachorro com a cabeça na janela do carro (sem cinto de segurança pet),3,3,3,4,3
Andar de bicicleta no trânsito sem capacete nem luzes,2,2,2,5,2
Andar de bicicleta respeitando os carros e sinais,8,8,7,6,7
Xingar o ciclista que está na rua,4,2,2,4,2
Andar de ônibus no horário de pico lendo um livro,5,9,5,6,7
Conversar alto no celular dentro do transporte público,4,2,2,5,3
Ouvir música sem fone no ônibus (Pancadão),4,1,1,5,2
Pegar trem bala (Shinkansen) no Japão,6,8,8,8,8
Fazer viagem de carro de 2.000km com a família (Roadtrip),6,8,9,8,8
Dormir na barraca tomando chuva porque não armou direito,3,4,4,5,4
Observar a Aurora Boreal,6,10,9,8,10
Visitar os parques da Disney focado apenas em brinquedos,6,7,7,6,7
Visitar Chernobyl (Dark Tourism),5,7,6,7,6
Colher maçãs/uvas direto do pé em propriedades rurais,7,8,8,6,7
Comprar roupas tradicionais locais e usar no país de origem (Apropriação/Homenagem),5,5,5,6,5
Viajar para um retiro espiritual na Índia (Estilo Comer Rezar Amar),6,9,8,8,9
Ir em praias de nudismo e tentar tirar fotos (Falta de ética),2,1,1,4,1
Praticar o nudismo com respeito e aceitação corporal,6,8,6,9,7
Perder as malas no aeroporto e manter a serenidade,5,9,6,6,8
Achar a bagagem de outra pessoa e devolver intacta,5,8,9,6,8
Andar de Uber e desabafar os problemas da vida com o motorista,5,7,6,6,6
Fazer viagens de negócios para hotéis luxuosos e só ver a sala de reunião,4,4,5,4,5
Roubar toalhas e roupões de hotéis chiques,4,1,1,4,1
Arrumar a cama do hotel antes de fazer o check-out,5,8,8,5,7
Beber até vomitar em uma festa,2,2,2,4,2
Misturar diferentes tipos de bebidas alcoólicas na mesma noite,2,3,3,4,3
Beber água entre um copo de álcool e outro,6,7,6,6,6
Dançar a noite inteira sem se importar com quem está olhando,8,9,8,9,8
Ficar sentado no canto da festa mexendo no celular,4,3,3,4,3
Fazer amizades no banheiro da balada,5,8,7,6,6
Ir a um show de rock e ficar no mosh pit (roda punk),6,8,7,7,7
Furar a fila da balada pagando propina para o segurança,4,2,2,5,2
Ser barrado na porta da festa e arrumar confusão,3,1,1,3,1
Usar drogas sintéticas para aguentar a festa até de manhã,1,2,3,4,2
Virar a noite em claro (Noitada) e ir trabalhar virado,2,3,3,5,2
Fazer festa em casa e deixar a limpeza para o parceiro,4,3,3,5,3
Contratar equipe de limpeza para o pós-festa,5,7,6,7,5
Chamar a polícia para a própria festa para expulsar convidados chatos,4,4,3,5,4
Cair no sono na calçada voltando da balada,1,1,1,3,1
Acordar em lugar desconhecido após bebedeira (Blackout),1,1,1,3,1
Procurar reuniões de Alcoólicos Anônimos (AA),7,10,9,8,10
Ser o "motorista da rodada" e não beber nada,8,9,9,7,9
Reclamar que a festa está ruim e ir embora sem avisar (Sair à francesa),5,6,5,7,5
Levar tupperware para roubar docinhos da festa de casamento,4,4,4,5,4
Ficar até o acender das luzes na balada,4,6,6,6,5
Chorar de bêbado por causa de ex,3,2,2,4,2
Ligar para o ex de madrugada totalmente embriagado,3,2,1,4,2
Ir num karaokê e cantar desafinado com vontade,6,9,8,7,7
Ter vergonha de cantar no karaokê e ficar só olhando,4,4,4,4,4
Fumar charuto para celebrar uma promoção (Status),4,5,5,5,5
Fumar um maço de cigarro por noite na ansiedade,1,2,2,3,2
Cheirar cocaína no banheiro da balada,1,1,1,3,1
Recusar drogas oferecidas por amigos com firmeza,8,10,9,8,9
Julgar quem bebe no bar sendo o único sóbrio,4,3,3,5,3
Fazer jogos alcoólicos (Beer pong/Vira-vira),3,4,4,5,3
Deixar o cartão de crédito aberto no bar e esquecer de fechar a conta,4,3,3,4,3
Sair sem pagar a conta do bar (Dar o calote),3,1,1,4,1
Pagar a conta de todos os amigos no bar para ostentar,4,5,6,4,5
Dividir a conta do bar na calculadora até os centavos,5,5,5,6,5
Pedir carona em aplicativo (Uber) e vomitar no carro,2,2,1,3,1
Dormir de maquiagem pesada após a balada,2,3,3,4,2
Tirar a maquiagem e fazer skin care mesmo bêbado,7,7,6,6,6
Ir a festivais de música (Tomorrowland/Rock in Rio) acampando,6,8,8,7,7
Passar o festival inteiro gravando stories em vez de curtir,4,3,4,4,3
Subir no palco do show sem ser chamado (Invasão),3,2,2,4,2
Levar garrafa de água escondida para a balada,5,6,5,5,5
Fazer pré-jogo (esquenta) com bebida barata na rua,3,4,5,5,4
Vomitar no meio da rua,2,2,2,3,1
Ajudar uma amiga bêbada a chegar em casa em segurança,6,9,10,6,9
Aproveitar-se de alguém alcoolizado,1,1,1,2,1
Ser promoter de festas e viver na noite,4,6,6,6,6
Decidir parar de sair à noite para focar na saúde (Fase caseira),8,9,7,7,8
Ter medo de perder eventos (FOMO - Fear Of Missing Out),3,2,3,3,2
Curtir o "JOMO" (Joy Of Missing Out - Alegria de perder o evento),7,10,8,8,8
Fazer jantares em casa com jogos de tabuleiro no sábado à noite,7,9,9,6,8
Sair para comer um hambúrguer na madrugada,4,6,6,6,5
Tentar conversar com som alto e ficar rouco no dia seguinte,3,4,4,4,3
Ter um "Date" em bar com música ao vivo muito alta,5,6,5,5,5
Mudar-se para cidade com vida noturna agitada,5,7,7,8,7
Comprar roupas cheias de brilho exclusivas para festas,5,7,6,6,6
Guardar a pulseira do festival por meses no braço (Sujeira),3,4,4,5,4
Cortar a pulseira e guardar em um quadro de memórias,5,8,6,6,6
Participar de "Pub Crawl" (Maratona de bares) em viagem,4,7,7,6,6
Beber sozinho em casa na segunda-feira à noite por tristeza,2,2,2,4,2
Tomar uma taça de vinho relaxando no sofá na sexta-feira,6,8,6,6,6
Fazer coleção de garrafas vazias no quarto,3,3,3,4,3
Aprender mixologia (Fazer coquetéis profissionais),6,8,7,6,7
Esconder bebidas alcoólicas da família (Sinal de vício),2,1,2,3,1
Mentir para a parceira que estava no trabalho mas estava no bar,3,1,1,4,1
Ir num clube de striptease esconder,4,3,3,4,2
Apostar dinheiro alto em poker com os amigos e perder tudo,2,2,2,3,2
Apostar centavos em jogos de cartas só pela diversão,5,7,6,6,5
Ficar viciado em jogos de azar (Cassinos online/Tigrinho),1,1,1,2,1
Assumir o vício e buscar clínicas de reabilitação,6,9,8,7,10
Ser DJ amador nas horas vagas,5,8,7,6,7
Trabalhar como segurança de balada aguentando bêbados,4,5,5,5,5
Organizar blocos de carnaval na própria rua,6,8,8,6,7
Fazer strip-tease particular para o parceiro,6,8,8,7,7
Assistir pornografia diariamente e afetar a libido real,2,1,2,3,1
Cortar pornografia e buscar conexões reais,7,10,9,8,9
Comprar brinquedos sexuais (Sex toys),6,8,7,8,7
Ir ao motel escondido com colega de trabalho,4,2,2,4,2
Planejar uma noite romântica em motel luxuoso com cônjuge,7,9,9,7,8
Admitir ter uma noite ruim na cama com naturalidade,6,9,8,7,8
Fingir orgasmo sistematicamente,4,2,2,4,2
Comunicar fantasias sexuais com honestidade,6,9,9,8,9
Ir em praias de surfe e surfar até anoitecer,9,9,8,7,8
Entrar no mar bêbado à noite,1,2,2,4,1
Saltar na piscina de roupa em uma festa chique,5,7,6,7,6
Aprender a tocar violão pelo YouTube,5,9,6,7,8
Comprar uma guitarra cara e deixá-la encostada no canto do quarto,4,3,4,4,4
Tocar em uma banda de garagem só por diversão,5,8,8,6,7
Cantar em coral de igreja ou comunitário,5,8,8,5,7
Aprender a desenhar anatomia humana,5,9,6,6,8
Comprar tintas a óleo e sujar a casa inteira tentando pintar,5,8,5,6,7
Visitar galerias de arte sem entender nada, mas tentando apreciar,5,8,6,6,6
Ir a uma galeria de arte só para tomar o champanhe grátis,5,4,5,5,4
Estudar a história da arte renascentista,5,9,6,6,8
Fazer origamis para relaxar a mente,5,9,5,6,7
Aprender a fazer cerâmica em um ateliê,6,9,7,6,8
Vender pulseiras de miçanga feitas à mão,5,8,6,6,7
Tricotar cachecóis para doar no inverno,5,8,8,6,9
Jogar jogos de tabuleiro complexos (Boardgames),5,9,8,6,7
Fliperama: Gastar dinheiro em máquinas de pegar pelúcia (Claw machines),4,4,4,4,4
Fazer coleção de revistas em quadrinhos (HQs) raras,5,7,6,5,6
Comprar sabres de luz caríssimos de Star Wars,4,5,4,4,4
Fazer maratona da trilogia O Senhor dos Anéis versão estendida,4,7,6,5,6
Discutir lore (história) de video games em fóruns gringos,4,7,5,5,5
Aprender a programar mods (modificações) para jogos,4,9,6,6,8
Fazer live na Twitch para 3 espectadores,4,7,6,6,7
Criar um servidor de Minecraft para amigos,4,8,8,6,7
Passar 50 horas construindo uma casa no The Sims,4,8,5,5,6
Assistir a vídeos de speedrun (zerar rápido) de jogos antigos,4,5,4,5,4
Comprar um telescópio para ver as crateras da lua,5,9,6,6,8
Participar de um clube de astronomia amadora,5,8,8,6,8
Assistir a documentários de biologia marinha,5,8,6,6,7
Aprender a identificar constelações no céu noturno,5,9,6,6,8
Construir drones a partir de peças separadas,5,9,6,6,8
Voar com drone de forma perigosa sobre multidões,2,2,2,3,2
Aprender a usar impressora 3D para criar action figures,5,9,6,6,8
Fazer curso de marcenaria básica,6,9,6,6,8
Construir a própria mesa de jantar do zero,6,9,7,6,8
Costurar roupas para os próprios bonecos de ação/Barbies,5,8,5,6,6
Fazer teatro de fantoches para os filhos,5,8,9,5,8
Contar histórias inventadas na hora para crianças dormirem,5,9,9,5,8
Aprender mágicas de perto (Close-up magic) para fazer em festas,5,8,8,6,7
Jogar RPG de mesa (D&D) como Mestre de Jogo (DM),5,10,9,6,8
Gastar fortunas em dados poliedrais coloridos de RPG,4,5,4,4,4
Participar de eventos de cultura pop (Comic Con) fantasiado,6,8,8,6,7
Julgar pessoas mais velhas que ainda gostam de super-heróis,4,2,3,4,3
Montar quebra-cabeças de 5000 peças durante as férias,5,9,6,6,7
Emoldurar um quebra-cabeça terminado e colocar na sala,5,8,6,6,6
Fazer palavras cruzadas todos os domingos no jornal,5,9,5,6,6
Aprender xadrez e jogar online todos os dias,5,10,5,6,7
Ficar obcecado com o próprio rating (pontuação) no xadrez online,3,4,4,5,3
Praticar artes marciais (Jiu-jitsu/Muay Thai),9,9,8,7,8
Usar as artes marciais para brigar na rua,1,1,1,2,1
Aprender esgrima histórica,8,9,7,6,7
Praticar tiro com arco de forma zen (Kyudo),7,10,7,6,8
Fazer aulas de dança de salão (Forró/Samba),8,9,9,7,8
Dançar balé clássico como adulto iniciante,8,9,7,6,8
Fazer pole dance como exercício físico,9,8,7,7,7
Ter vergonha de dançar em festas de família,4,4,4,5,4
Fazer aulas de canto mesmo sendo muito desafinado,6,8,7,6,7
Comprar um teclado arranjador para aprender sozinho,5,8,6,6,7
Tocar bateria e irritar os vizinhos,5,5,3,4,5
Tocar bateria com bateria eletrônica de fone de ouvido,6,8,6,6,7
Fazer malabarismo no parque da cidade,7,8,6,6,7
Andar em monociclo,7,8,6,6,6
Fazer cursos de culinária francesa,5,9,7,6,8
Tentar flambar comida em casa e quase colocar fogo na cozinha,3,3,3,4,3
Cozinhar pão de fermentação natural (Levain),5,9,6,6,7
Aprender a fazer queijos artesanais,5,9,6,6,7
Fazer cerveja artesanal no quintal de casa,5,8,7,6,7
Visitar cervejarias locais e conversar com os mestres cervejeiros,5,8,8,6,7
Plantar uma horta em vasos no apartamento,5,9,6,6,7
Gritar e torcer muito em campeonatos de E-sports,4,6,6,5,5
Decorar as próprias roupas com patches e bottons,5,8,5,7,6
Rasgar as calças de propósito para ficar na moda,5,5,5,6,5
Comprar máquinas de escrever antigas só por estética,5,5,4,5,5
Restaurar máquinas de escrever e doá-las,5,9,6,6,8
Fazer caligrafia com pena e nanquim,5,9,5,6,7
Aprender a revelar fotos analógicas em quarto escuro,5,9,6,6,8
Usar câmeras digitais de 2005 (Estética Y2K),5,6,5,6,5
Sair para fotografar arquitetura brutalista pela cidade,7,9,6,6,7
Criar uma conta no Instagram só para o próprio cachorro/gato,5,6,6,6,5
Gravar ASMR cortando sabonetes e postar online,5,6,5,6,5
Assistir documentários longos sobre acidentes nucleares,5,8,5,6,6
Fazer um diário de viagens com colagens (Scrapbook),5,9,6,6,7
Decorar a capa do caderno com adesivos aleatórios,5,7,5,6,5
Escrever fanfics de romance de personagens que se odeiam,5,8,6,6,7
Participar de competições de devorar cachorros-quentes,2,3,4,4,3
Fazer coleção de tampas de bueiro através de fotos,6,8,5,6,6
Anotar o modelo dos aviões que passam no céu,5,8,5,6,6
Caçar tornados (Tornado chasing) nos Estados Unidos,4,7,6,5,6
Comprar um detector de mentiras de brinquedo para usar em festas,5,6,7,5,5
Aprender hipnose de palco para impressionar,5,8,7,6,6
Tentar ler a mente das pessoas através de linguagem corporal,5,8,6,6,7
Fazer leituras de Tarot sem acreditar apenas pelo lúdico,5,7,6,6,6
Cobrar caro para ler o futuro das pessoas (Charlatanismo),4,2,2,4,2
Aprender a fazer nós de marinheiro avançados,5,9,6,6,7
Estudar como construir iglus na neve,5,9,5,6,7
Visitar os locais de gravação das próprias séries favoritas,7,8,7,6,7
Fazer turismo focado em visitar todos os estádios de futebol do país,7,8,7,6,7
Comer lanches monstruosos apenas pelo desafio da lanchonete,2,3,4,4,3
Acumular milhares de horas no Steam,2,3,3,4,3
Ter um grupo de amigos no Discord de mais de 5 anos,4,8,8,6,7
Pagar assinatura do Discord Nitro para mandar emojis personalizados,4,4,4,5,4
Ajudar a legendar filmes independentes para comunidades online,4,8,6,6,8
Traduzir e adaptar mangás por conta própria (Scanlator),4,9,6,6,8
Levar o resto do bolo da festa de aniversário para casa,5,6,5,6,5
Criticar o buffet do casamento depois da festa,4,3,3,4,3
Elogiar os noivos pela festa de casamento maravilhosa,5,8,8,6,7
Chorar no altar no dia do próprio casamento,5,9,9,7,8
Fugir do próprio casamento deixando a pessoa no altar,4,2,1,6,2
Pedir o namorado(a) em casamento no meio de um jogo de futebol no telão,4,3,3,4,3
Pedir o namorado(a) em casamento de forma íntima e privativa,6,9,9,7,9
Recusar um pedido de casamento em público,5,2,2,7,3
Usar branco no casamento de outra pessoa de propósito,4,1,1,4,1
Ir de penetra em festas de casamento para comer de graça,4,2,2,4,2
Deixar o bebê chorando no cinema sem sair da sala,4,2,1,4,2
Sair da sala de cinema com o bebê chorando para não atrapalhar,5,8,8,5,8
Usar o celular com brilho máximo no cinema escuro,4,1,2,4,2
Mandar mensagem terminando o relacionamento,4,2,2,5,2
Fazer um PowerPoint explicando por que quer terminar,5,3,3,4,3
Contar os segredos do ex após o término,4,1,1,4,1
Devolver todos os presentes do ex em uma caixa,5,5,4,6,4
Guardar as cartas do ex no fundo da gaveta,4,4,5,5,4
Reclamar do clima no elevador para puxar assunto,5,5,5,5,5
Ficar em silêncio constrangedor no elevador,5,4,4,5,4
Dar os parabéns para o colega de trabalho cantando bem alto,5,6,7,5,6
Levar bolo de aniversário para o escritório no próprio aniversário,5,8,8,6,7
Esquecer o nome da pessoa 5 segundos depois que ela se apresenta,5,3,4,4,4
Anotar o nome da pessoa no celular para não esquecer,5,8,7,6,7
Chamar a professora de mãe sem querer,4,4,4,4,4
Fingir rir de uma piada que não entendeu,4,3,4,4,3
Pedir para explicar a piada e acabar com a graça,5,4,3,5,4
Contar a mesma história três vezes para a mesma pessoa,4,3,4,4,4
Avisar o amigo que ele tem feijão no dente discretamente,5,8,9,6,8
Deixar o amigo andar com o zíper da calça aberto o dia todo,4,2,1,4,1
Mandar emoji de coração para o chefe por engano,4,3,3,4,3
Corrigir o erro de digitação rapidamente sem fazer alarde,5,6,5,5,5
Pedir para provar a comida do prato do amigo sem avisar,4,2,3,4,2
Soprar a vela do bolo de aniversário de outra pessoa,3,1,1,4,1
Apelidar colegas com nomes pejorativos,3,1,1,4,1
Ajudar um cego a atravessar a rua sem perguntar se ele quer ajuda,4,3,2,4,3
Perguntar se a pessoa com deficiência visual precisa de ajuda antes de agir,6,9,9,6,9
Chorar assistindo a um comercial de margarina,5,6,5,5,5
Segurar a porta do elevador para quem está correndo,5,8,8,5,7
Apertar o botão de fechar a porta do elevador vendo a pessoa correr,4,1,1,5,1
Emprestar o cartão de crédito para um amigo que tem nome sujo,3,2,2,4,2
Negar dinheiro para amigo folgado com firmeza,6,8,7,8,7
Organizar uma vaquinha online para ajudar um desconhecido,5,8,9,6,9
Fingir que não tem dinheiro quando alguém pede na rua,4,3,4,4,3
Comprar fraldas para doar num chá de bebê,5,8,9,5,8
Ir ao chá de bebê apenas para comer sem levar presente,4,2,2,4,2
Levar uma garrafa de vinho barata e beber o vinho caro dos outros,4,2,2,4,2
Dar um presente de casamento comprado no dia anterior,5,5,5,5,5
Passar horas escolhendo um presente que a pessoa realmente quer,5,9,9,6,8
Doar sangue de forma anônima,6,8,9,6,9
Exigir reconhecimento por ter doado sangue,4,3,4,4,3
Tirar foto dando esmola e postar no Instagram,3,2,2,4,2
Gritar com o cobrador do ônibus por falta de troco,3,1,1,4,1
Ajudar a pagar a passagem de quem não tem troco,5,9,9,6,9
Discutir política no almoço de Natal da família,3,2,1,4,2
Evitar assuntos polêmicos na mesa de jantar para manter a paz,5,8,8,6,7
Criticar a criação dos filhos alheios,4,2,1,4,2
Oferecer ajuda para uma mãe exausta segurando um bebê chorão,6,9,10,6,9
Dar doces escondido para a criança após a mãe proibir,3,1,1,4,1
Mentir para proteger um amigo de uma encrenca séria (Perjúrio),3,2,1,4,2
Falar a verdade mesmo que doa,6,9,8,8,9
Defender um colega injustiçado publicamente,6,10,10,8,10
Ser o "advogado do diabo" em todas as conversas só para ser do contra,3,2,2,5,2
Fazer contato visual adequado durante uma conversa,5,8,8,6,7
Desviar o olhar o tempo todo por timidez,4,3,4,4,4
Mandar currículo com foto de biquíni/sunga,2,2,2,4,2
Vestir-se de forma profissional para uma reunião de negócios,5,8,7,6,7
Julgar a aparência das pessoas na academia,3,2,2,4,2
Ajudar um iniciante na academia com os aparelhos de forma gentil,6,9,9,6,8
Rir de alguém gordo correndo na rua,2,1,1,4,1
Elogiar a dedicação de quem está começando a treinar,6,10,9,7,9
Postar "TBT" de viagens o tempo todo porque a vida atual está chata,4,3,4,4,3
Parar de usar o passado como muleta e construir o presente,6,9,8,8,9
Convidar pessoas para uma festa esperando que elas não vão,4,2,3,4,2
Cancelar planos de última hora com desculpas inventadas,3,2,2,5,2
Assumir que precisa de um tempo sozinho e cancelar planos de forma honesta,6,9,8,8,8
Levar as sobras do restaurante para o cachorro,5,6,6,5,6
Pedir as sobras do restaurante para comer no dia seguinte sem vergonha,5,8,6,6,7
Comer a marmita do colega na geladeira da empresa,3,1,1,4,1
Deixar bilhetes motivacionais anônimos no escritório,6,9,9,6,9
Lavar a louça logo após terminar de comer,6,8,7,6,7
Deixar a louça acumular na pia por uma semana,3,3,3,5,3
Limpar a casa cantando com o cabo da vassoura,6,9,8,7,8
Dormir com a roupa que chegou da rua,3,3,3,5,3
Tirar os sapatos antes de entrar em casa,8,8,7,6,7
Lavar as toalhas de banho uma vez por mês apenas,2,3,3,5,2
Tomar banho gelado de manhã para acordar,8,9,6,7,8
Demorar 40 minutos no banho desperdiçando água,4,3,3,5,3
Fechar o chuveiro enquanto se ensaboa,6,8,8,6,7
Deixar o papel higiênico acabar e não colocar um rolo novo,3,2,2,4,2
Mudar o rolo de papel higiênico pelo lado "correto",5,6,5,5,5
Apertar a pasta de dente pelo meio,4,4,4,5,4
Espremer a pasta de dente do fim até o topo com organizador,6,7,6,6,6
Usar cotonetes dentro do canal do ouvido correndo risco,3,3,3,5,3
Limpar os ouvidos com toalha após o banho,7,7,6,6,6
Acender incenso para relaxar no fim do dia,6,8,6,6,7
Bater a porta do carro com força por acidente,4,4,4,4,4
Bater portas pela casa de propósito para mostrar irritação,3,2,2,4,2
Fechar a porta com delicadeza para não acordar ninguém,6,8,8,6,8
Lembrar-se de desligar o ferro de passar roupas,6,8,6,6,6
Esquecer a panela no fogo e queimar a comida,3,3,3,4,3
Ligar para a própria mãe só para perguntar como fazer arroz,5,8,8,6,7
Limpar a geladeira e encontrar coisas de 6 meses atrás,4,5,6,5,5
Colocar data nos potes de comida antes de congelar,6,8,7,7,7
Comprar roupas novas apenas em brechós e bazares,6,8,7,8,8
Gastar o salário inteiro no primeiro dia útil do mês,2,2,3,2,2
Esconder compras do parceiro para evitar brigas,3,2,2,4,2
Conversar abertamente sobre dívidas e planejar a quitação,6,9,8,8,9
Pegar dinheiro com agiota (Empréstimo perigoso),2,1,1,2,1
Renegociar dívidas diretamente com o banco,5,8,7,8,8
Emprestar o nome para terceiros fazerem compras,2,2,2,2,2
Negar o próprio nome para empréstimos a terceiros,6,8,7,8,7
Vender coisas velhas para juntar dinheiro para uma viagem,6,8,8,8,8
Abrir um cofre de porquinho para moedas no final do ano,5,8,6,7,7
Deixar todas as lâmpadas da casa acesas durante o dia,4,3,3,4,3
Colocar garrafas de água no quintal para espantar gatos (Mito),4,4,4,5,4
Falar sozinho em voz alta no supermercado escolhendo frutas,5,6,5,5,5
Cheirar as frutas no mercado para ver se estão boas,5,7,6,6,6
Comer uvas no mercado antes de pagar,4,2,2,4,2
Devolver o carrinho de supermercado no local correto,6,7,8,6,8
Deixar o carrinho de supermercado solto no meio do estacionamento,4,2,2,5,2
Fazer amizade com o caixa do supermercado,5,8,8,6,7
Perguntar como foi o dia do motorista de aplicativo,5,8,8,6,7
Entrar no Uber de fone de ouvido sem dar "boa tarde",4,3,3,5,4
Ignorar ligações de telemarketing e bloquear o número,5,7,6,8,6
Gritar com o atendente de telemarketing que só está fazendo seu trabalho,4,2,2,4,2
Atender o telemarketing e conversar com o robô de propósito,5,6,5,6,5
Escrever resenhas enormes e raivosas em produtos do Mercado Livre,4,3,3,4,3
Dar 5 estrelas e elogiar o vendedor de pequenos negócios,6,8,8,6,8
Comprar cursos para ficar milionário em 7 dias (Cair em golpes),3,2,2,3,2
Estudar educação financeira em livros clássicos,5,9,8,8,9
Assistir documentários sobre o universo para dormir,5,8,6,6,7
Fazer terapia de vidas passadas (sem comprovação),4,5,5,6,5
Fazer terapia cognitivo-comportamental com psicólogo formado,6,9,8,8,9
Ir ao quiroprata e gravar os estalos dos ossos,5,6,5,6,5
Tentar estalar as próprias costas e travar a coluna,2,2,3,4,2
Usar óculos de sol dentro de lugares fechados à noite (Apenas estética),4,4,4,5,4
Aderir a um estilo de vida minimalista de forma radical (sem móveis),5,6,5,8,6
Jogar fora papéis importantes pensando que era lixo na limpeza minimalista,3,2,3,4,3
Fazer backup digital de documentos importantes e jogar fora o papel,6,9,7,8,8
Passar horas no Pinterest criando pastas de casas de luxo,5,6,5,6,5
Fazer um "Vision Board" de metas reais e factíveis,6,9,8,8,9
Cortar o próprio dedo cozinhando e tentar curar com pó de café (Mito),3,3,4,4,3
Manter um kit de primeiros socorros atualizado em casa,6,8,7,6,8
Colar chiclete embaixo da cadeira/mesa em locais públicos,3,1,1,4,1
Jogar bituca de cigarro no chão na rua,3,1,1,4,1
Carregar um cinzeiro portátil no bolso para as bitucas,5,7,7,6,7
Tirar fotos com o flash ligado em museus ou aquários (prejudicando os bichos),3,1,2,4,2
Respeitar as regras de não fotografar em certos locais turísticos,6,8,8,6,8
Aprender a trocar a resistência do chuveiro sozinho,7,8,6,7,7
Queimar a resistência do chuveiro porque ligou na temperatura máxima sem água,3,3,4,4,3
Deixar de escovar os dentes no final de semana porque "não vai sair de casa",2,3,4,5,3
Cortar as unhas do pé no sofá e deixar no chão,2,2,2,4,2
Varrer a casa logo após cortar as unhas,5,7,5,6,6
Dormir no chão da sala com o cachorro,6,8,8,6,7
Acender luzes de Natal na varanda no mês de Julho,5,6,6,6,6
Guardar as sacolas de plástico dentro de outra sacola de plástico,5,7,6,6,6
Usar potes de sorvete para guardar feijão no congelador,6,7,6,6,6
Chorar porque abriu o pote de sorvete e tinha feijão,4,5,5,6,5
Tomar sorvete no inverno debaixo das cobertas,6,8,6,6,6
Colocar ketchup na pizza e iniciar uma guerra cultural,5,5,5,6,5
Aceitar as preferências culinárias estranhas dos amigos,6,8,8,7,7
Dizer que é alérgico a algo só porque não gosta do sabor (Mentira no restaurante),4,2,2,4,2
Explicar gentilmente que não gosta de certos ingredientes sem mentir,6,9,8,7,8
Cozinhar um prato elaborado para agradar a sogra,6,8,8,6,7
Levar refrigerante de marca inferior e tomar o de primeira marca dos outros na festa,3,2,2,4,2
Fazer um churrasco e dividir a conta igualmente de forma justa,6,8,8,6,8
Gritar gol antes da hora e dar azar (Superstição de torcedor),4,5,5,5,5
Ficar triste o final de semana inteiro porque seu time de futebol perdeu,3,2,3,4,3
Entender que futebol é entretenimento e não deixar afetar o humor da semana,6,9,8,7,8
Comprar uma camiseta autografada do seu ídolo esportivo,5,8,6,6,7
Andar de camisa de time em casamentos/eventos formais,3,3,3,6,3
Tirar o sapato no avião e colocar o pé na poltrona da frente,2,1,1,4,1
Usar meias de compressão durante voos longos,8,8,6,6,7
Aplaudir no final de filmes no cinema,5,6,6,6,5
Vaiar a tela de cinema quando o vilão ganha,4,4,4,5,4
Chorar copiosamente no cinema e rir de si mesmo depois,6,9,8,7,8
Usar o notebook na cama até superaquecer as pernas,3,3,4,5,3
Comprar suporte ergonômico e trabalhar com a postura correta,8,9,6,7,8
Limpar as lentes do óculos na camisa e riscar a lente,4,4,4,5,4
Usar spray e pano de microfibra para limpar óculos,6,8,5,6,6
Arrumar a cama ao acordar como primeira tarefa do dia,7,9,7,7,8
Deixar a cama desarrumada a semana inteira,3,4,4,5,4
Escrever um diário de gratidão todas as noites antes de dormir,6,10,8,8,9
Morder a própria língua de raiva para não responder mal,5,7,7,6,7
Treinar técnicas de comunicação não violenta (CNV),6,10,9,8,10
Ser passivo-agressivo com o parceiro mandando áudios secos,3,2,2,4,2
Resolver mal-entendidos na mesma hora com diálogo claro,6,9,9,7,9
Postar fotos no hospital tomando soro para ganhar atenção,3,2,2,4,2
Ir ao hospital, tratar a saúde e descansar offline,8,8,7,6,8
Tentar curar ressaca com mais bebida alcoólica (Mito),1,2,2,4,2
Beber litros de água e descansar para curar a ressaca,8,8,6,6,7
